Started at Wed Nov 13 08:26:45 CET 2024
11/13 08:26:49 - mmengine - INFO - Iter(test) [1350/2000]    eta: 0:04:12  time: 0.0838  data_time: 0.0017  memory: 17002  
Processing corruption type: glass_blur
11/13 08:27:09 - mmengine - INFO - Iter(test) [1400/2000]    eta: 0:03:53  time: 0.5136  data_time: 0.0017  memory: 17021  
11/13 08:27:18 - mmengine - INFO - Iter(test) [1450/2000]    eta: 0:03:29  time: 0.4447  data_time: 0.0017  memory: 17009  
11/13 08:27:22 - mmengine - INFO - Iter(test) [1500/2000]    eta: 0:03:05  time: 0.0808  data_time: 0.0016  memory: 720  
11/13 08:27:28 - mmengine - INFO - Iter(test) [1550/2000]    eta: 0:02:43  time: 0.0890  data_time: 0.0017  memory: 16952  
11/13 08:27:32 - mmengine - INFO - Iter(test) [1600/2000]    eta: 0:02:22  time: 0.0832  data_time: 0.0018  memory: 1600  
11/13 08:27:44 - mmengine - INFO - Iter(test) [1650/2000]    eta: 0:02:02  time: 0.0779  data_time: 0.0016  memory: 17024  
11/13 08:27:55 - mmengine - INFO - Iter(test) [1700/2000]    eta: 0:01:44  time: 0.0862  data_time: 0.0019  memory: 17015  
11/13 08:28:05 - mmengine - INFO - Iter(test) [1750/2000]    eta: 0:01:25  time: 0.0893  data_time: 0.0016  memory: 17004  
11/13 08:28:12 - mmengine - INFO - Iter(test) [1800/2000]    eta: 0:01:07  time: 0.0884  data_time: 0.0019  memory: 17004  
11/13 08:28:17 - mmengine - INFO - Iter(test) [1850/2000]    eta: 0:00:49  time: 0.0886  data_time: 0.0019  memory: 670  
11/13 08:28:25 - mmengine - INFO - Iter(test) [1900/2000]    eta: 0:00:32  time: 0.0910  data_time: 0.0017  memory: 17027  
11/13 08:28:35 - mmengine - INFO - Iter(test) [1950/2000]    eta: 0:00:16  time: 0.0822  data_time: 0.0017  memory: 17008  
11/13 08:28:43 - mmengine - INFO - Iter(test) [2000/2000]    eta: 0:00:00  time: 0.0778  data_time: 0.0014  memory: 16956  
11/13 08:28:43 - mmengine - INFO - per class results:
11/13 08:28:43 - mmengine - INFO - 
+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
|        booth        |  26.7 |  27.6 |
| television receiver | 20.92 | 22.44 |
|       airplane      | 33.95 | 44.83 |
|      dirt track     |  0.0  |  0.0  |
|       apparel       |  8.9  | 22.69 |
|         pole        | 13.14 |  19.2 |
|         land        |  0.71 |  0.73 |
|      bannister      |  3.7  |  4.14 |
|      escalator      |  5.22 |  5.49 |
|       ottoman       | 11.82 | 12.94 |
|        bottle       | 10.78 | 22.24 |
|        buffet       |  0.2  |  0.2  |
|        poster       | 16.08 | 33.27 |
|        stage        |  7.13 |  7.41 |
|         van         | 25.24 | 31.87 |
|         ship        |  4.61 |  5.79 |
|       fountain      |  0.36 |  0.43 |
|    conveyer belt    | 40.04 |  41.1 |
|        canopy       |  1.46 |  1.57 |
|        washer       | 47.25 | 47.96 |
|      plaything      | 10.47 | 11.86 |
|    swimming pool    | 12.11 | 12.78 |
|        stool        | 18.54 | 27.46 |
|        barrel       |  0.0  |  0.0  |
|        basket       | 14.35 | 27.46 |
|      waterfall      | 36.55 | 44.91 |
|         tent        | 14.69 | 16.26 |
|         bag         |  4.16 | 10.23 |
|       minibike      | 32.92 |  40.7 |
|        cradle       | 52.34 | 66.81 |
|         oven        | 12.22 | 16.59 |
|         ball        | 30.09 | 31.47 |
|         food        | 26.31 | 31.14 |
|         step        |  0.53 |  0.57 |
|         tank        | 15.84 | 20.27 |
|      trade name     | 14.71 | 16.31 |
|      microwave      |  17.7 | 18.27 |
|         pot         | 24.83 | 26.72 |
|        animal       | 39.78 |  41.3 |
|       bicycle       | 35.79 | 66.91 |
|         lake        |  0.0  |  0.0  |
|      dishwasher     | 27.52 | 28.58 |
|        screen       | 58.57 | 67.43 |
|       blanket       |  1.1  |  1.11 |
|      sculpture      |  9.83 | 11.71 |
|         hood        | 21.38 | 21.66 |
|        sconce       | 12.03 | 13.25 |
|         vase        | 32.31 | 40.46 |
|    traffic light    |  19.9 | 22.72 |
|         tray        |  2.52 |  5.41 |
|        ashcan       | 20.37 | 25.06 |
|         fan         | 36.01 | 40.41 |
|         pier        | 11.77 | 12.86 |
|      crt screen     |  4.8  | 12.38 |
|        plate        | 42.34 | 51.53 |
|       monitor       | 42.85 | 51.63 |
|    bulletin board   | 21.46 | 22.69 |
|        shower       |  0.0  |  0.0  |
|       radiator      |  2.18 |  2.27 |
|        glass        | 10.68 | 15.15 |
|        clock        | 15.03 | 16.52 |
|         flag        | 23.84 | 25.43 |
+---------------------+-------+-------+
11/13 13:49:55 - mmengine - INFO - Iter(test) [2000/2000]    aAcc: 65.1100  mIoU: 24.6700  mAcc: 30.8100  data_time: 0.0018  time: 0.5514
Finished processing corruption type: snow
Processing corruption type: frost
11/13 13:50:13 - mmengine - INFO - 
------------------------------------------------------------
System environment:
    sys.platform: linux
    Python: 3.8.20 (default, Oct  3 2024, 15:24:27) [GCC 11.2.0]
    CUDA available: True
    MUSA available: False
    numpy_random_seed: 1101941616
    GPU 0: Tesla V100-SXM2-32GB
    CUDA_HOME: /opt/bwhpc/common/devel/cuda/11.7
    NVCC: Cuda compilation tools, release 11.7, V11.7.99
    GCC: gcc (GCC) 8.5.0 20210514 (Red Hat 8.5.0-18)
    PyTorch: 1.13.1
    PyTorch compiling details: PyTorch built with:
  - GCC 9.3
  - C++ Version: 201402
  - Intel(R) oneAPI Math Kernel Library Version 2021.4-Product Build 20210904 for Intel(R) 64 architecture applications
  - Intel(R) MKL-DNN v2.6.0 (Git Hash 52b5f107dd9cf10910aaa19cb47f3abf9b349815)
  - OpenMP 201511 (a.k.a. OpenMP 4.5)
  - LAPACK is enabled (usually provided by MKL)
  - NNPACK is enabled
  - CPU capability usage: AVX2
  - CUDA Runtime 11.7
  - NVCC architecture flags: -gencode;arch=compute_37,code=sm_37;-gencode;arch=compute_50,code=sm_50;-gencode;arch=compute_60,code=sm_60;-gencode;arch=compute_61,code=sm_61;-gencode;arch=compute_70,code=sm_70;-gencode;arch=compute_75,code=sm_75;-gencode;arch=compute_80,code=sm_80;-gencode;arch=compute_86,code=sm_86;-gencode;arch=compute_37,code=compute_37
  - CuDNN 8.5
  - Magma 2.6.1
  - Build settings: BLAS_INFO=mkl, BUILD_TYPE=Release, CUDA_VERSION=11.7, CUDNN_VERSION=8.5.0, CXX_COMPILER=/opt/rh/devtoolset-9/root/usr/bin/c++, CXX_FLAGS= -fabi-version=11 -Wno-deprecated -fvisibility-inlines-hidden -DUSE_PTHREADPOOL -fopenmp -DNDEBUG -DUSE_KINETO -DUSE_FBGEMM -DUSE_QNNPACK -DUSE_PYTORCH_QNNPACK -DUSE_XNNPACK -DSYMBOLICATE_MOBILE_DEBUG_HANDLE -DEDGE_PROFILER_USE_KINETO -O2 -fPIC -Wno-narrowing -Wall -Wextra -Werror=return-type -Werror=non-virtual-dtor -Wno-missing-field-initializers -Wno-type-limits -Wno-array-bounds -Wno-unknown-pragmas -Wunused-local-typedefs -Wno-unused-parameter -Wno-unused-function -Wno-unused-result -Wno-strict-overflow -Wno-strict-aliasing -Wno-error=deprecated-declarations -Wno-stringop-overflow -Wno-psabi -Wno-error=pedantic -Wno-error=redundant-decls -Wno-error=old-style-cast -fdiagnostics-color=always -faligned-new -Wno-unused-but-set-variable -Wno-maybe-uninitialized -fno-math-errno -fno-trapping-math -Werror=format -Werror=cast-function-type -Wno-stringop-overflow, LAPACK_INFO=mkl, PERF_WITH_AVX=1, PERF_WITH_AVX2=1, PERF_WITH_AVX512=1, TORCH_VERSION=1.13.1, USE_CUDA=ON, USE_CUDNN=ON, USE_EXCEPTION_PTR=1, USE_GFLAGS=OFF, USE_GLOG=OFF, USE_MKL=ON, USE_MKLDNN=ON, USE_MPI=OFF, USE_NCCL=ON, USE_NNPACK=ON, USE_OPENMP=ON, USE_ROCM=OFF, 

    TorchVision: 0.14.1
    OpenCV: 3.4.18
    MMEngine: 0.10.5

Runtime environment:
    cudnn_benchmark: True
    mp_cfg: {'mp_start_method': 'fork', 'opencv_num_threads': 0}
    dist_cfg: {'backend': 'nccl'}
    seed: 1101941616
    Distributed launcher: none
    Distributed training: False
    GPU number: 1
------------------------------------------------------------

11/13 13:50:13 - mmengine - INFO - Config:
crop_size = (
    512,
    512,
)
data_preprocessor = dict(
    bgr_to_rgb=True,
    corruption=False,
    mean=[
        123.675,
        116.28,
        103.53,
    ],
    pad_val=0,
    seg_pad_val=255,
    std=[
        58.395,
        57.12,
        57.375,
    ],
    type='SegDataPreProcessor')
data_root = 'data/ade/ADEChallengeData2016'
dataset_type = 'ADE20KDataset'
default_hooks = dict(
    checkpoint=dict(by_epoch=False, interval=16000, type='CheckpointHook'),
    logger=dict(interval=50, log_metric_by_epoch=False, type='LoggerHook'),
    param_scheduler=dict(type='ParamSchedulerHook'),
    sampler_seed=dict(type='DistSamplerSeedHook'),
    timer=dict(type='IterTimerHook'),
    visualization=dict(type='SegVisualizationHook'))
default_scope = 'mmseg'
env_cfg = dict(
    cudnn_benchmark=True,
    dist_cfg=dict(backend='nccl'),
    mp_cfg=dict(mp_start_method='fork', opencv_num_threads=0))
img_ratios = [
    0.5,
    0.75,
    1.0,
    1.25,
    1.5,
    1.75,
]
launcher = 'none'
load_from = '../checkpoint_files/ade20k/pspnet/pspnet_r101-d8_512x512_160k_ade20k_20200615_100650-967c316f.pth'
log_level = 'INFO'
log_processor = dict(by_epoch=False)
model = dict(
    auxiliary_head=dict(
        align_corners=False,
        channels=256,
        concat_input=False,
        dropout_ratio=0.1,
        in_channels=1024,
        in_index=2,
        loss_decode=dict(
            loss_weight=0.4, type='CrossEntropyLoss', use_sigmoid=False),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        num_classes=150,
        num_convs=1,
        type='FCNHead'),
    backbone=dict(
        contract_dilation=True,
        depth=101,
        dilations=(
            1,
            1,
            2,
            4,
        ),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        norm_eval=False,
        num_stages=4,
        out_indices=(
            0,
            1,
            2,
            3,
        ),
        strides=(
            1,
            2,
            1,
            1,
        ),
        style='pytorch',
        type='ResNetV1c'),
    data_preprocessor=dict(
        bgr_to_rgb=True,
        corruption='frost',
        mean=[
            123.675,
            116.28,
            103.53,
        ],
        pad_val=0,
        seg_pad_val=255,
        size=(
            512,
            512,
        ),
        std=[
            58.395,
            57.12,
            57.375,
        ],
        type='SegDataPreProcessor'),
    decode_head=dict(
        align_corners=False,
        channels=512,
        dropout_ratio=0.1,
        in_channels=2048,
        in_index=3,
        loss_decode=dict(
            loss_weight=1.0, type='CrossEntropyLoss', use_sigmoid=False),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        num_classes=150,
        pool_scales=(
            1,
            2,
            3,
            6,
        ),
        type='PSPHead'),
    pretrained='open-mmlab://resnet101_v1c',
    test_cfg=dict(mode='whole'),
    train_cfg=dict(),
    type='EncoderDecoder')
norm_cfg = dict(requires_grad=True, type='SyncBN')
optim_wrapper = dict(
    clip_grad=None,
    optimizer=dict(lr=0.01, momentum=0.9, type='SGD', weight_decay=0.0005),
    type='OptimWrapper')
optimizer = dict(lr=0.01, momentum=0.9, type='SGD', weight_decay=0.0005)
param_scheduler = [
    dict(
        begin=0,
        by_epoch=False,
        end=160000,
        eta_min=0.0001,
        power=0.9,
        type='PolyLR'),
]
resume = False
test_cfg = dict(type='TestLoop')
test_dataloader = dict(
    batch_size=1,
    dataset=dict(
        data_prefix=dict(
            img_path='images/validation',
            seg_map_path='annotations/validation'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(keep_ratio=True, scale=(
                2048,
                512,
            ), type='Resize'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=False, type='DefaultSampler'))
test_evaluator = dict(
    iou_metrics=[
        'mIoU',
    ], type='IoUMetric')
test_pipeline = [
    dict(type='LoadImageFromFile'),
    dict(keep_ratio=True, scale=(
        2048,
        512,
    ), type='Resize'),
    dict(reduce_zero_label=True, type='LoadAnnotations'),
    dict(type='PackSegInputs'),
]
train_cfg = dict(
    max_iters=160000, type='IterBasedTrainLoop', val_interval=16000)
train_dataloader = dict(
    batch_size=4,
    dataset=dict(
        data_prefix=dict(
            img_path='images/training', seg_map_path='annotations/training'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(
                keep_ratio=True,
                ratio_range=(
                    0.5,
                    2.0,
                ),
                scale=(
                    2048,
                    512,
                ),
                type='RandomResize'),
            dict(
                cat_max_ratio=0.75, crop_size=(
                    512,
                    512,
                ), type='RandomCrop'),
            dict(prob=0.5, type='RandomFlip'),
            dict(type='PhotoMetricDistortion'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=True, type='InfiniteSampler'))
train_pipeline = [
    dict(type='LoadImageFromFile'),
    dict(reduce_zero_label=True, type='LoadAnnotations'),
    dict(
        keep_ratio=True,
        ratio_range=(
            0.5,
            2.0,
        ),
        scale=(
            2048,
            512,
        ),
        type='RandomResize'),
    dict(cat_max_ratio=0.75, crop_size=(
        512,
        512,
    ), type='RandomCrop'),
    dict(prob=0.5, type='RandomFlip'),
    dict(type='PhotoMetricDistortion'),
    dict(type='PackSegInputs'),
]
tta_model = dict(type='SegTTAModel')
tta_pipeline = [
    dict(backend_args=None, type='LoadImageFromFile'),
    dict(
        transforms=[
            [
                dict(keep_ratio=True, scale_factor=0.5, type='Resize'),
                dict(keep_ratio=True, scale_factor=0.75, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.0, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.25, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.5, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.75, type='Resize'),
            ],
            [
                dict(direction='horizontal', prob=0.0, type='RandomFlip'),
                dict(direction='horizontal', prob=1.0, type='RandomFlip'),
            ],
            [
                dict(type='LoadAnnotations'),
            ],
            [
                dict(type='PackSegInputs'),
            ],
        ],
        type='TestTimeAug'),
]
val_cfg = dict(type='ValLoop')
val_dataloader = dict(
    batch_size=1,
    dataset=dict(
        data_prefix=dict(
            img_path='images/validation',
            seg_map_path='annotations/validation'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(keep_ratio=True, scale=(
                2048,
                512,
            ), type='Resize'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=False, type='DefaultSampler'))
val_evaluator = dict(
    iou_metrics=[
        'mIoU',
    ], type='IoUMetric')
vis_backends = [
    dict(type='LocalVisBackend'),
]
visualizer = dict(
    name='visualizer',
    type='SegLocalVisualizer',
    vis_backends=[
        dict(type='LocalVisBackend'),
    ])
work_dir = '../corruptions/work_dirs/ade20k/pspnet/pspnet_r101-d8_4xb4-160k_ade20k-512x512/frost'

Number of parameters:  68068492
11/13 13:50:17 - mmengine - INFO - Distributed training is not used, all SyncBatchNorm (SyncBN) layers in the model will be automatically reverted to BatchNormXd layers if they are used.
11/13 13:50:17 - mmengine - INFO - Hooks will be executed in the following order:
before_run:
(VERY_HIGH   ) RuntimeInfoHook                    
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
before_train:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
before_train_epoch:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(NORMAL      ) DistSamplerSeedHook                
 -------------------- 
before_train_iter:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
 -------------------- 
after_train_iter:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(NORMAL      ) SegVisualizationHook               
(BELOW_NORMAL) LoggerHook                         
(LOW         ) ParamSchedulerHook                 
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
after_train_epoch:
(NORMAL      ) IterTimerHook                      
(LOW         ) ParamSchedulerHook                 
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
before_val:
(VERY_HIGH   ) RuntimeInfoHook                    
 -------------------- 
before_val_epoch:
(NORMAL      ) IterTimerHook                      
 -------------------- 
before_val_iter:
(NORMAL      ) IterTimerHook                      
 -------------------- 
after_val_iter:
(NORMAL      ) IterTimerHook                      
(NORMAL      ) SegVisualizationHook               
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
after_val_epoch:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(BELOW_NORMAL) LoggerHook                         
(LOW         ) ParamSchedulerHook                 
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
after_val:
(VERY_HIGH   ) RuntimeInfoHook                    
 -------------------- 
after_train:
(VERY_HIGH   ) RuntimeInfoHook                    
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
before_test:
(VERY_HIGH   ) RuntimeInfoHook                    
 -------------------- 
before_test_epoch:
(NORMAL      ) IterTimerHook                      
 -------------------- 
before_test_iter:
(NORMAL      ) IterTimerHook                      
 -------------------- 
after_test_iter:
(NORMAL      ) IterTimerHook                      
(NORMAL      ) SegVisualizationHook               
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
after_test_epoch:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
after_test:
(VERY_HIGH   ) RuntimeInfoHook                    
 -------------------- 
after_run:
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
11/13 13:50:18 - mmengine - WARNING - The prefix is not set in metric class IoUMetric.
Loads checkpoint by local backend from path: ../checkpoint_files/ade20k/pspnet/pspnet_r101-d8_512x512_160k_ade20k_20200615_100650-967c316f.pth
11/13 13:50:18 - mmengine - INFO - Load checkpoint from ../checkpoint_files/ade20k/pspnet/pspnet_r101-d8_512x512_160k_ade20k_20200615_100650-967c316f.pth
/pfs/work7/workspace/scratch/ma_mkacar-team_project_fss2024/benchmarking_robustness/semantic_segmentation/mmsegmentation/mmseg/ops_dcnv3/modules/dcnv3.py:20: UserWarning: Now, we support DCNv4 in InternImage.
  warnings.warn('Now, we support DCNv4 in InternImage.')
/pfs/work7/workspace/scratch/ma_mkacar-team_project_fss2024/miniconda3/envs/py310/lib/python3.8/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
11/13 13:51:45 - mmengine - INFO - Iter(test) [  50/2000]    eta: 0:56:04  time: 0.8718  data_time: 0.0016  memory: 17244  
11/13 13:52:31 - mmengine - INFO - Iter(test) [ 100/2000]    eta: 0:42:03  time: 1.0224  data_time: 0.0016  memory: 17024  
11/13 13:52:55 - mmengine - INFO - Iter(test) [ 150/2000]    eta: 0:32:11  time: 0.5229  data_time: 0.0016  memory: 17018  
11/13 13:53:31 - mmengine - INFO - Iter(test) [ 200/2000]    eta: 0:28:57  time: 0.6440  data_time: 0.0016  memory: 17026  
11/13 13:54:04 - mmengine - INFO - Iter(test) [ 250/2000]    eta: 0:26:19  time: 0.4462  data_time: 0.0015  memory: 17024  
11/13 13:54:30 - mmengine - INFO - Iter(test) [ 300/2000]    eta: 0:23:45  time: 0.1092  data_time: 0.0017  memory: 17020  
11/13 13:55:04 - mmengine - INFO - Iter(test) [ 350/2000]    eta: 0:22:25  time: 0.4447  data_time: 0.0015  memory: 17024  
11/13 13:55:28 - mmengine - INFO - Iter(test) [ 400/2000]    eta: 0:20:39  time: 0.5180  data_time: 0.0015  memory: 17022  
11/13 13:55:37 - mmengine - INFO - Iter(test) [ 450/2000]    eta: 0:18:16  time: 0.2008  data_time: 0.0015  memory: 16946  
11/13 13:55:48 - mmengine - INFO - Iter(test) [ 500/2000]    eta: 0:16:30  time: 0.0946  data_time: 0.0015  memory: 17004  
11/13 13:56:02 - mmengine - INFO - Iter(test) [ 550/2000]    eta: 0:15:05  time: 0.5321  data_time: 0.0016  memory: 17024  
11/13 13:56:10 - mmengine - INFO - Iter(test) [ 600/2000]    eta: 0:13:40  time: 0.2588  data_time: 0.0016  memory: 16952  
11/13 13:56:28 - mmengine - INFO - Iter(test) [ 650/2000]    eta: 0:12:47  time: 0.5285  data_time: 0.0014  memory: 17026  
11/13 13:56:49 - mmengine - INFO - Iter(test) [ 700/2000]    eta: 0:12:05  time: 0.1058  data_time: 0.0017  memory: 17027  
11/13 13:57:11 - mmengine - INFO - Iter(test) [ 750/2000]    eta: 0:11:28  time: 1.0454  data_time: 0.0015  memory: 17029  
11/13 13:57:20 - mmengine - INFO - Iter(test) [ 800/2000]    eta: 0:10:32  time: 0.0926  data_time: 0.0016  memory: 17018  
11/13 13:57:25 - mmengine - INFO - Iter(test) [ 850/2000]    eta: 0:09:37  time: 0.0948  data_time: 0.0017  memory: 720  
11/13 13:57:33 - mmengine - INFO - Iter(test) [ 900/2000]    eta: 0:08:50  time: 0.1885  data_time: 0.0015  memory: 16943  
11/13 13:57:52 - mmengine - INFO - Iter(test) [ 950/2000]    eta: 0:08:21  time: 0.2934  data_time: 0.0016  memory: 17024  
11/13 13:58:04 - mmengine - INFO - Iter(test) [1000/2000]    eta: 0:07:45  time: 0.0894  data_time: 0.0015  memory: 17000  
11/13 13:58:20 - mmengine - INFO - Iter(test) [1050/2000]    eta: 0:07:15  time: 0.6278  data_time: 0.0016  memory: 17027  
11/13 13:58:32 - mmengine - INFO - Iter(test) [1100/2000]    eta: 0:06:44  time: 0.0966  data_time: 0.0016  memory: 17014  
11/13 13:58:41 - mmengine - INFO - Iter(test) [1150/2000]    eta: 0:06:11  time: 0.1931  data_time: 0.0015  memory: 17006  
11/13 13:58:46 - mmengine - INFO - Iter(test) [1200/2000]    eta: 0:05:38  time: 0.0921  data_time: 0.0015  memory: 1917  
11/13 13:58:56 - mmengine - INFO - Iter(test) [1250/2000]    eta: 0:05:10  time: 0.1988  data_time: 0.0015  memory: 17017  
11/13 13:59:01 - mmengine - INFO - Iter(test) [1300/2000]    eta: 0:04:41  time: 0.0948  data_time: 0.0015  memory: 1556  
11/13 13:59:09 - mmengine - INFO - Iter(test) [1350/2000]    eta: 0:04:15  time: 0.0927  data_time: 0.0015  memory: 17002  
11/13 13:59:29 - mmengine - INFO - Iter(test) [1400/2000]    eta: 0:03:56  time: 0.5203  data_time: 0.0015  memory: 17021  
11/13 13:59:39 - mmengine - INFO - Iter(test) [1450/2000]    eta: 0:03:32  time: 0.4498  data_time: 0.0015  memory: 17009  
11/13 13:59:43 - mmengine - INFO - Iter(test) [1500/2000]    eta: 0:03:08  time: 0.0879  data_time: 0.0015  memory: 720  
11/13 13:59:50 - mmengine - INFO - Iter(test) [1550/2000]    eta: 0:02:45  time: 0.0982  data_time: 0.0016  memory: 16952  
11/13 13:59:54 - mmengine - INFO - Iter(test) [1600/2000]    eta: 0:02:23  time: 0.0914  data_time: 0.0016  memory: 1600  
11/13 14:00:06 - mmengine - INFO - Iter(test) [1650/2000]    eta: 0:02:04  time: 0.0837  data_time: 0.0014  memory: 17024  
11/13 14:00:17 - mmengine - INFO - Iter(test) [1700/2000]    eta: 0:01:45  time: 0.0924  data_time: 0.0016  memory: 17015  
11/13 14:00:27 - mmengine - INFO - Iter(test) [1750/2000]    eta: 0:01:26  time: 0.0962  data_time: 0.0014  memory: 17004  
11/13 14:00:35 - mmengine - INFO - Iter(test) [1800/2000]    eta: 0:01:08  time: 0.0957  data_time: 0.0017  memory: 17004  
11/13 14:00:40 - mmengine - INFO - Iter(test) [1850/2000]    eta: 0:00:50  time: 0.0939  data_time: 0.0016  memory: 670  
11/13 14:00:49 - mmengine - INFO - Iter(test) [1900/2000]    eta: 0:00:33  time: 0.0981  data_time: 0.0015  memory: 17027  
11/13 14:00:59 - mmengine - INFO - Iter(test) [1950/2000]    eta: 0:00:16  time: 0.0895  data_time: 0.0015  memory: 17008  
11/13 14:01:07 - mmengine - INFO - Iter(test) [2000/2000]    eta: 0:00:00  time: 0.0876  data_time: 0.0014  memory: 16956  
11/13 14:01:07 - mmengine - INFO - per class results:
11/13 14:01:07 - mmengine - INFO - 
+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
+---------------------+-------+-------+
|         wall        | 63.28 |  87.1 |
|       building      | 77.29 | 90.83 |
|         sky         |  78.7 | 81.53 |
|        floor        | 69.04 |  87.7 |
|         tree        | 60.44 | 85.83 |
|       ceiling       | 70.02 |  79.3 |
|         road        | 69.31 | 76.13 |
|         bed         | 80.36 | 91.36 |
|      windowpane     | 52.78 | 67.78 |
|        grass        | 60.33 |  77.6 |
|       cabinet       | 45.18 |  53.2 |
|       sidewalk      | 48.48 | 59.32 |
|        person       | 70.88 | 84.99 |
|        earth        | 26.48 | 47.31 |
|         door        | 27.84 | 37.48 |
|        table        | 51.06 | 67.89 |
|       mountain      | 30.64 | 70.07 |
|        plant        | 42.72 | 52.39 |
|       curtain       | 53.09 | 64.52 |
|        chair        | 48.25 | 59.71 |
|         car         | 77.55 |  86.0 |
|        water        | 38.48 | 50.02 |
|       painting      | 61.76 |  78.7 |
|         sofa        | 60.07 | 76.47 |
|        shelf        | 33.44 | 47.84 |
|        house        | 33.62 | 39.03 |
|         sea         | 36.43 | 58.72 |
|        mirror       | 49.05 | 55.44 |
|         rug         | 36.24 | 41.67 |
|        field        | 24.65 | 38.35 |
|       armchair      | 33.75 | 40.61 |
|         seat        | 53.08 | 58.53 |
|        fence        | 23.08 |  35.5 |
|         desk        | 34.44 | 44.58 |
|         rock        | 30.38 |  45.3 |
|       wardrobe      | 31.52 | 42.17 |
|         lamp        | 54.34 | 63.69 |
|       bathtub       | 40.43 | 49.34 |
|       railing       | 24.43 | 34.87 |
|       cushion       | 46.76 | 57.97 |
|         base        | 13.09 | 14.89 |
|         box         | 16.28 | 21.51 |
|        column       | 38.32 | 47.96 |
|      signboard      | 30.17 | 40.64 |
|   chest of drawers  | 29.17 | 33.54 |
|       counter       | 16.92 | 26.71 |
|         sand        | 18.97 | 22.45 |
|         sink        | 57.17 | 66.42 |
|      skyscraper     | 32.82 | 36.93 |
|      fireplace      |  53.2 |  63.9 |
|     refrigerator    | 50.08 | 53.56 |
|      grandstand     | 35.36 | 57.87 |
|         path        | 18.96 | 26.05 |
|        stairs       | 31.48 | 39.56 |
|        runway       | 62.36 | 73.43 |
|         case        | 46.53 | 72.23 |
|      pool table     | 85.79 | 87.97 |
|        pillow       | 43.75 | 54.36 |
|     screen door     |  38.4 | 63.01 |
|       stairway      |  27.7 | 32.53 |
|        river        |  8.96 | 16.17 |
|        bridge       | 58.42 | 64.19 |
|       bookcase      | 24.19 | 27.75 |
|        blind        |  25.4 | 26.88 |
|     coffee table    | 60.16 | 69.75 |
|        toilet       | 65.71 |  69.2 |
|        flower       |  28.3 | 38.67 |
|         book        | 37.04 | 52.88 |
|         hill        |  3.7  |  5.35 |
|        bench        | 40.82 | 47.06 |
|      countertop     | 45.92 | 66.71 |
|        stove        |  56.2 | 59.68 |
|         palm        |  42.1 | 51.96 |
|    kitchen island   | 30.28 | 59.68 |
|       computer      | 46.88 | 49.81 |
|     swivel chair    | 29.13 | 32.95 |
|         boat        | 33.38 |  35.2 |
|         bar         | 16.51 | 18.55 |
